[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:50] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:51] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:52] TCP | 140.82.112.22:443 -> 192.168.0.115:52874
[2025-08-02 17:32:52] TCP | 192.168.0.115:52874 -> 140.82.112.22:443
[2025-08-02 17:32:52] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:52] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:53] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:53] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:54] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:54] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:55] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:55] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:56] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:56] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:56] UDP | 192.168.0.115:63287 -> 192.168.0.1:53
[2025-08-02 17:32:56] UDP | 192.168.0.115:52265 -> 192.168.0.1:53
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] UDP | 192.168.0.1:53 -> 192.168.0.115:63287
[2025-08-02 17:32:56] UDP | 192.168.0.1:53 -> 192.168.0.115:52265
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:56] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:57] ICMP | 203.74.222.4:- -> 192.168.0.115:-
[2025-08-02 17:32:57] TCP | 52.123.128.14:443 -> 192.168.0.115:52865
[2025-08-02 17:32:58] TCP | 192.168.0.115:52817 -> 20.189.173.17:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52817 -> 20.189.173.17:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52817 -> 20.189.173.17:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52817 -> 20.189.173.17:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 20.189.173.17:443 -> 192.168.0.115:52817
[2025-08-02 17:32:58] TCP | 20.189.173.17:443 -> 192.168.0.115:52817
[2025-08-02 17:32:58] TCP | 20.189.173.17:443 -> 192.168.0.115:52817
[2025-08-02 17:32:58] TCP | 20.189.173.17:443 -> 192.168.0.115:52817
[2025-08-02 17:32:58] TCP | 192.168.0.115:52817 -> 20.189.173.17:443
[2025-08-02 17:32:58] TCP | 20.189.173.17:443 -> 192.168.0.115:52817
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 192.168.0.115:52817 -> 20.189.173.17:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52868 -> 3.233.158.26:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52868 -> 3.233.158.26:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52868 -> 3.233.158.26:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52868 -> 3.233.158.26:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] TCP | 104.18.32.47:443 -> 192.168.0.115:52810
[2025-08-02 17:32:58] ICMP | 192.168.0.115:- -> 203.74.222.4:-
[2025-08-02 17:32:58] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:59] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
[2025-08-02 17:32:59] TCP | 192.168.0.115:52810 -> 104.18.32.47:443
